	Y			X
	1.78737			659.729
	1.63556			658.589
	1.48376			658.161
	1.32028			657.591
	1.18015			657.163
	0.911571		656.166
	0.783121		655.738
	0.713057		655.025
	0.561253		654.598
	0.467834		654.027
	0.31603			653.457
	0.222611		653.030
	0.14087			652.459
	0.000743098		652.317
	-0.127707		652.032
	-0.302866		651.604
	-0.419639		651.461
	-0.524735		651.319
	-0.653185		651.176
	-0.769958		650.891
	-0.910085		650.891
	-1.08524		650.891
	-1.23703		650.606
	-1.41221		650.464
	-1.5173			650.464
	-1.61072		650.321	
