	Y			X
	1.8324			633.983
	1.66521			633.338
	1.50995			632.693
	1.3547			632.264
	1.24721			631.404
	1.1039			631.404
	0.984475		630.759
	0.865048		630.330
	0.757564		629.685
	0.638137		629.47
	0.51871			629.04
	0.470939		628.825
	0.351513		628.181
	0.232086		627.751
	0.100717		627.321
	-0.00676752		627.321
	-0.126194		626.891
	-0.245621		626.676
	-0.400876		626.461
	-0.544188		626.032
	-0.651672		626.032
	-0.771099		625.817
	-0.902468		625.817
	-1.03384		625.387
	-1.15326		625.387
	-1.30852		625.387
	-1.45183		624.957
	-1.55932		624.957
